oneday,砂を移動させる,one,2017-12-26,"1．好きな砂を調達する
2．砂の山を作る
3．手で砂をすくい、別の場所へ移す
4．作業を繰り返し、すべての砂を別の場所へ移す

by 中尾香織",complete,none
oneday,湯気を眺めたり、ユーフォニアムの練習をしたり、,two,2018-01-14,"湯気に光をあてて、揺れている様子を眺める　by ootsusan
ユーフォニアムを演奏するために呼吸の準備をする by мкт∵",complete,none
oneday,声に出して読む,two,2018-01-14,"日記を読む by 5ft46
その場にいる人達で円卓を囲み、順番に数字を数える",complete,none
series,破壊,two,2018-01-22,"何かを壊したり割ったりしたい by 6.7.r.n",complete,http://vg.pe.hu/up/memories/sexy/
oneday,撮影,two,2018-01-24,"水に石を落とす映像を撮る by Dove",complete,http://vg.pe.hu/up/memories/sexy/
oneday,"keta fes",two,2018-02-24,"やったことないことに挑戦する
・ビリーズブートキャンプ
・両手手放しで自転車に乗る
・バイトに応募
など

by seaketa",complete,none
oneday,"chotto crazy",two,2018-02-25,"声に出してめりすを読む
面接
サイファー
など

by shaisuke | zeki | haruka | kaori | kazuma",complete,none
series,Open Studio,two,2018-03-04,"適当にタイピングした文字をGoogle翻訳でいろんな言語で再生する
適当にタイピングして見つけたウェブサイトをプリントアウトする

by Woopheadclrms",complete,http://vg.pe.hu/1f/05.html
online,俳句,two,2018-03-05,特定の時間にウェブサイトに集まって、俳句を詠む時間を作りたい,complete,http://vg.pe.hu/up/reading/haiku/
oneday,"chotto crazy 2 B",two,2018-03-18,"アンティークの西洋のテーブルゲームで遊んでみたい
屋上でオペラがしたい
巨大な餃子を作りたい
など

by Woopheadclrms | KeitaroTamura | zeki | Dove | さえ",complete,none
oneday,"chotto crazy <3",two,2018-03-21,"もう一度砂を移動させる
地図を作ろう

by Nice shop su",complete,none
series,ギャルになろう,two,2018-08-19,"ギャルの精神を胸に一日を過ごす

by haruka | kaori | kazuma",complete,https://www.instagram.com/p/BmsSLmfFj8o/?utm_source=ig_web_copy_link
series,バスケしよう,two,2018-09-16,八幡屋公園多目的広場でバスケットボールがしたい,complete,https://www.instagram.com/p/BnyuJ7plryW/?utm_source=ig_web_copy_link
oneday,壁を壊す,two,2018-09-22,部屋を分担するコンクリートの壁を壊してステージにしました,complete,https://www.instagram.com/p/BoFkieWB_4_/?utm_source=ig_web_copy_link
series,#magicringmakefriendship,two,2018-10-20,マジックリングでムーブメントを起こしたい,complete,http://newlifecollection.com/ca1/3/p-r1-s/
oneday,"secret show",two,2018-10-27,完成した歌を人前で初めて歌う by Dove,complete,https://www.instagram.com/p/BpcMWPcBcvP/?utm_source=ig_web_copy_link
oneday,全員リリパ,two,2018-12-02,"笛で会話する
泥団子を作る
#magicringmakefriendship
など

by Dove | Le makeup | sarakona at last | Haruka | 船川翔司 | ナイスショップスー",complete,http://vg.pe.hu/jp/show/riripa.html
series,知らない道を選ぶ,three,2019-02-15,"なるべく、これまでに通ったことのない知らない道を選ぶことを心がける",active,http://go.out.pe.hu/
oneday,白湯をゆっくり飲む,three,2019-02-27,"一杯の白湯を１０分くらいかけてゆっくり贅沢に味わう。
湯を沸かす器具や、飲む器などベストな状態で白湯を飲む方法を追求する。

by Dove",complete,none
oneday,凧上げをしよう,three,2019-03-02,"空に扉が浮かんでいる夢をみた。
扉の形をした凧を作って空に飛ばせばきっと同じものが見れるかもしれないと思った。

by Y.Ohashi",complete,none
series,世界中の言葉を使う,three,2019-03-08,英語だけで会話しながらトランプで遊ぶ会,complete,none
series,靴下ハギレの会,three,2019-03-13,"靴下ハギレのマットを買いました。
程よい弾力があり、座っても膝が痛くなく、沈まないので立ち上がるのも楽です。
色々な色が混じっていてかわいくて、おばあちゃんの部屋にいるみたいな気持ちになります。

編むのは簡単なようなので、自分の好きな色合いや、大きさにできると思うのでぜひみんなで作ってみませんか。

by sarakona_at_last",complete,none
oneday,使ってないもの使ってみる,three,2019-03-22,"買ったけど使っていない物を持ち寄って使ってみる。

by Keisuke Iiri",complete,none
oneday,彫刻刀で銃作る,three,2019-04-08,"角材を彫刻刀で彫り、相棒となるmy銃を作りたい。

by 中尾香織",complete,none
oneday,"FREE TIME",three,2019-04-08,"着物を着て、書道と陶芸をします

by Jean-Philippe Bretin | Vanessa Dziuba",complete,none
series,大暴れ,three,2019-05-11,"全力で物を壊したり、叩きつけたり、大暴れがしたい。

by kazuma sasajima",complete,none
oneday,合法F制作,three,2019-06-04,"フレンドリーフォームショップに憧れて、フォームを使って色んなものを作って見たいと思った

by pal",complete,none
oneday,コインスタンド,three,2019-06-04,"梅田駅周辺の色んな場所にコインを立てる

by Nicholas Strobelt",complete,https://www.instagram.com/p/ByagJvbDBLa/?utm_source=ig_web_copy_link
oneday,シャドーパフォーマンス,three,2019-06-04,"真っ暗な部屋で色んなものに光をあてていろんな影を作る

by Nicholas Strobelt",complete,https://twitter.com/pe_hu_/status/1135957036947001344
oneday,擬似木陰を作る,three,2019-07-14,"①まず１６日までにもこちゃんだけじゃなくみんないい木かげを見つけたらそれがどういうものだったか写真と文章でインスタのストーリーペフ宛で報告する。
②どういう要素があって何が必要か考え、家にある不要で使えそうなものを持ち寄り１６日１９：００にペフ集合。ペフにあるものも使おう。
③作る。
目をつぶった状態でいい木かげと感じれたら成功かなと思います。

by もこと中尾",complete,none
oneday,癲狂科学実験,three,2019-07-29,"サイリウムの中身を使って光の実験をやります。

by 斎藤誠",complete,none
oneday,ウォーターテイスティン,three,2019-07-29,"優雅な音楽を聞きながら複数のミネラルウォーターを飲み比べる

by Laurel Schwulst",complete,https://twitter.com/pe_hu_/status/1158713977460809728
